Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025
24-Aug-2023,30-Jun-2023,13286000,812000,636000,622000,4.79%,3.68%,9.10,10.00,2.48,159.17%,123.74%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2023,31-Mar-2023,11528000,361000,253000,240000,2.19%,1.51%,3.50,0.00,2.33,-38.30%,-1.64%,,,,,,,,,,,,,,,,,,,,,,,,,
23-Feb-2023,31-Dec-2022,11292000,365000,396000,389000,3.51%,2.46%,5.70,3.00,2.32,87.92%,12.75%,,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-2022,30-Sep-2022,12182000,340000,227000,207000,1.86%,1.32%,3.10,0.00,2.31,-25.54%,-12.29%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022,Financial Year: 30-Jun-2022
17-Aug-2022,30-Jun-2022,10851000,519000,281000,278000,2.59%,1.74%,4.10,7.50,2.35,13.93%,31.75%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2022,31-Mar-2022,10572000,387000,264000,244000,2.50%,1.53%,3.60,0.00,2.34,-29.28%,-18.67%,,,,,,,,,,,,,,,,,,,,,,,,,
16-Feb-2022,31-Dec-2021,10536000,481000,375000,345000,3.56%,2.20%,5.10,4.00,2.31,46.19%,-45.50%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov-2021,30-Sep-2021,10673000,374000,267000,236000,2.50%,1.54%,3.50,0.00,2.26,11.85%,-16.01%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021,Financial Year: 30-Jun-2021
