date_reg,company,vehicle_count
2018-05-25,Bermaz Auto Berhad,3
2018-05-26,Bermaz Auto Berhad,0
2018-05-27,Bermaz Auto Berhad,0
2018-05-28,Bermaz Auto Berhad,6
2018-05-29,Bermaz Auto Berhad,0
2018-05-30,Bermaz Auto Berhad,10
2018-05-31,Bermaz Auto Berhad,1
2018-06-01,Bermaz Auto Berhad,124
2018-06-02,Bermaz Auto Berhad,7
2018-06-03,Bermaz Auto Berhad,3
2018-06-04,Bermaz Auto Berhad,96
2018-06-05,Bermaz Auto Berhad,101
2018-06-06,Bermaz Auto Berhad,119
2018-06-07,Bermaz Auto Berhad,133
2018-06-08,Bermaz Auto Berhad,135
2018-06-09,Bermaz Auto Berhad,1
2018-06-10,Bermaz Auto Berhad,2
2018-06-11,Bermaz Auto Berhad,80
2018-06-12,Bermaz Auto Berhad,116
2018-06-13,Bermaz Auto Berhad,108
2018-06-14,Bermaz Auto Berhad,44
2018-06-15,Bermaz Auto Berhad,0
2018-06-16,Bermaz Auto Berhad,0
2018-06-17,Bermaz Auto Berhad,0
2018-06-18,Bermaz Auto Berhad,5
2018-06-19,Bermaz Auto Berhad,4
2018-06-20,Bermaz Auto Berhad,2
2018-06-21,Bermaz Auto Berhad,51
2018-06-22,Bermaz Auto Berhad,71
2018-06-23,Bermaz Auto Berhad,0
2018-06-24,Bermaz Auto Berhad,0
2018-06-25,Bermaz Auto Berhad,52
2018-06-26,Bermaz Auto Berhad,47
2018-06-27,Bermaz Auto Berhad,63
2018-06-28,Bermaz Auto Berhad,77
2018-06-29,Bermaz Auto Berhad,74
2018-06-30,Bermaz Auto Berhad,4
2018-07-01,Bermaz Auto Berhad,1
2018-07-02,Bermaz Auto Berhad,17
2018-07-03,Bermaz Auto Berhad,38
2018-07-04,Bermaz Auto Berhad,38
2018-07-05,Bermaz Auto Berhad,52
2018-07-06,Bermaz Auto Berhad,39
2018-07-07,Bermaz Auto Berhad,0
2018-07-08,Bermaz Auto Berhad,0
2018-07-09,Bermaz Auto Berhad,26
2018-07-10,Bermaz Auto Berhad,20
2018-07-11,Bermaz Auto Berhad,38
2018-07-12,Bermaz Auto Berhad,48
2018-07-13,Bermaz Auto Berhad,48
2018-07-14,Bermaz Auto Berhad,0
2018-07-15,Bermaz Auto Berhad,2
2018-07-16,Bermaz Auto Berhad,22
2018-07-17,Bermaz Auto Berhad,34
2018-07-18,Bermaz Auto Berhad,39
2018-07-19,Bermaz Auto Berhad,63
2018-07-20,Bermaz Auto Berhad,56
2018-07-21,Bermaz Auto Berhad,1
2018-07-22,Bermaz Auto Berhad,4
2018-07-23,Bermaz Auto Berhad,46
2018-07-24,Bermaz Auto Berhad,51
2018-07-25,Bermaz Auto Berhad,55
2018-07-26,Bermaz Auto Berhad,60
2018-07-27,Bermaz Auto Berhad,69
2018-07-28,Bermaz Auto Berhad,0
2018-07-29,Bermaz Auto Berhad,0
2018-07-30,Bermaz Auto Berhad,62
2018-07-31,Bermaz Auto Berhad,97
2018-08-01,Bermaz Auto Berhad,25
2018-08-02,Bermaz Auto Berhad,50
2018-08-03,Bermaz Auto Berhad,49
2018-08-04,Bermaz Auto Berhad,2
2018-08-05,Bermaz Auto Berhad,0
2018-08-06,Bermaz Auto Berhad,40
2018-08-07,Bermaz Auto Berhad,49
2018-08-08,Bermaz Auto Berhad,75
2018-08-09,Bermaz Auto Berhad,67
2018-08-10,Bermaz Auto Berhad,79
2018-08-11,Bermaz Auto Berhad,1
2018-08-12,Bermaz Auto Berhad,3
2018-08-13,Bermaz Auto Berhad,58
2018-08-14,Bermaz Auto Berhad,89
2018-08-15,Bermaz Auto Berhad,97
2018-08-16,Bermaz Auto Berhad,104
2018-08-17,Bermaz Auto Berhad,109
2018-08-18,Bermaz Auto Berhad,1
2018-08-19,Bermaz Auto Berhad,1
2018-08-20,Bermaz Auto Berhad,78
2018-08-21,Bermaz Auto Berhad,109
2018-08-22,Bermaz Auto Berhad,0
2018-08-23,Bermaz Auto Berhad,80
2018-08-24,Bermaz Auto Berhad,110
2018-08-25,Bermaz Auto Berhad,2
2018-08-26,Bermaz Auto Berhad,6
2018-08-27,Bermaz Auto Berhad,106
2018-08-28,Bermaz Auto Berhad,167
2018-08-29,Bermaz Auto Berhad,212
2018-08-30,Bermaz Auto Berhad,262
2018-08-31,Bermaz Auto Berhad,0
2018-09-01,Bermaz Auto Berhad,0
2018-09-02,Bermaz Auto Berhad,0
2018-09-03,Bermaz Auto Berhad,1
2018-09-04,Bermaz Auto Berhad,17
2018-09-05,Bermaz Auto Berhad,32
2018-09-06,Bermaz Auto Berhad,52
2018-09-07,Bermaz Auto Berhad,55
2018-09-08,Bermaz Auto Berhad,0
2018-09-09,Bermaz Auto Berhad,0
2018-09-10,Bermaz Auto Berhad,0
2018-09-11,Bermaz Auto Berhad,0
2018-09-12,Bermaz Auto Berhad,51
2018-09-13,Bermaz Auto Berhad,80
2018-09-14,Bermaz Auto Berhad,83
2018-09-15,Bermaz Auto Berhad,3
2018-09-16,Bermaz Auto Berhad,0
2018-09-17,Bermaz Auto Berhad,1
2018-09-18,Bermaz Auto Berhad,60
2018-09-19,Bermaz Auto Berhad,72
2018-09-20,Bermaz Auto Berhad,94
2018-09-21,Bermaz Auto Berhad,84
2018-09-22,Bermaz Auto Berhad,3
2018-09-23,Bermaz Auto Berhad,1
2018-09-24,Bermaz Auto Berhad,55
2018-09-25,Bermaz Auto Berhad,100
2018-09-26,Bermaz Auto Berhad,129
2018-09-27,Bermaz Auto Berhad,117
2018-09-28,Bermaz Auto Berhad,114
2018-09-29,Bermaz Auto Berhad,2
2018-09-30,Bermaz Auto Berhad,3
2018-10-01,Bermaz Auto Berhad,28
2018-10-02,Bermaz Auto Berhad,51
2018-10-03,Bermaz Auto Berhad,61
2018-10-04,Bermaz Auto Berhad,62
2018-10-05,Bermaz Auto Berhad,97
2018-10-06,Bermaz Auto Berhad,0
2018-10-07,Bermaz Auto Berhad,1
2018-10-08,Bermaz Auto Berhad,73
2018-10-09,Bermaz Auto Berhad,83
2018-10-10,Bermaz Auto Berhad,112
2018-10-11,Bermaz Auto Berhad,128
2018-10-12,Bermaz Auto Berhad,110
2018-10-13,Bermaz Auto Berhad,2
2018-10-14,Bermaz Auto Berhad,8
2018-10-15,Bermaz Auto Berhad,58
2018-10-16,Bermaz Auto Berhad,61
2018-10-17,Bermaz Auto Berhad,95
2018-10-18,Bermaz Auto Berhad,89
2018-10-19,Bermaz Auto Berhad,74
2018-10-20,Bermaz Auto Berhad,0
2018-10-21,Bermaz Auto Berhad,0
2018-10-22,Bermaz Auto Berhad,44
2018-10-23,Bermaz Auto Berhad,49
2018-10-24,Bermaz Auto Berhad,47
2018-10-25,Bermaz Auto Berhad,99
2018-10-26,Bermaz Auto Berhad,73
2018-10-27,Bermaz Auto Berhad,6
2018-10-28,Bermaz Auto Berhad,1
2018-10-29,Bermaz Auto Berhad,60
2018-10-30,Bermaz Auto Berhad,103
2018-10-31,Bermaz Auto Berhad,84
2018-11-01,Bermaz Auto Berhad,55
2018-11-02,Bermaz Auto Berhad,73
2018-11-03,Bermaz Auto Berhad,0
2018-11-04,Bermaz Auto Berhad,2
2018-11-05,Bermaz Auto Berhad,50
2018-11-06,Bermaz Auto Berhad,1
2018-11-07,Bermaz Auto Berhad,89
2018-11-08,Bermaz Auto Berhad,106
2018-11-09,Bermaz Auto Berhad,125
2018-11-10,Bermaz Auto Berhad,1
2018-11-11,Bermaz Auto Berhad,2
2018-11-12,Bermaz Auto Berhad,100
2018-11-13,Bermaz Auto Berhad,94
2018-11-14,Bermaz Auto Berhad,103
2018-11-15,Bermaz Auto Berhad,139
2018-11-16,Bermaz Auto Berhad,99
2018-11-17,Bermaz Auto Berhad,0
2018-11-18,Bermaz Auto Berhad,1
2018-11-19,Bermaz Auto Berhad,68
2018-11-20,Bermaz Auto Berhad,0
2018-11-21,Bermaz Auto Berhad,75
2018-11-22,Bermaz Auto Berhad,89
2018-11-23,Bermaz Auto Berhad,114
2018-11-24,Bermaz Auto Berhad,2
2018-11-25,Bermaz Auto Berhad,1
2018-11-26,Bermaz Auto Berhad,52
2018-11-27,Bermaz Auto Berhad,62
2018-11-28,Bermaz Auto Berhad,119
2018-11-29,Bermaz Auto Berhad,127
2018-11-30,Bermaz Auto Berhad,143
2018-12-01,Bermaz Auto Berhad,1
2018-12-02,Bermaz Auto Berhad,0
2018-12-03,Bermaz Auto Berhad,46
2018-12-04,Bermaz Auto Berhad,51
2018-12-05,Bermaz Auto Berhad,53
2018-12-06,Bermaz Auto Berhad,107
2018-12-07,Bermaz Auto Berhad,86
2018-12-08,Bermaz Auto Berhad,2
2018-12-09,Bermaz Auto Berhad,6
2018-12-10,Bermaz Auto Berhad,54
2018-12-11,Bermaz Auto Berhad,29
2018-12-12,Bermaz Auto Berhad,68
2018-12-13,Bermaz Auto Berhad,92
2018-12-14,Bermaz Auto Berhad,104
2018-12-15,Bermaz Auto Berhad,0
2018-12-16,Bermaz Auto Berhad,1
2018-12-17,Bermaz Auto Berhad,62
2018-12-18,Bermaz Auto Berhad,86
2018-12-19,Bermaz Auto Berhad,76
2018-12-20,Bermaz Auto Berhad,92
2018-12-21,Bermaz Auto Berhad,74
2018-12-22,Bermaz Auto Berhad,3
2018-12-23,Bermaz Auto Berhad,4
2018-12-24,Bermaz Auto Berhad,52
2018-12-25,Bermaz Auto Berhad,0
2018-12-26,Bermaz Auto Berhad,61
2018-12-27,Bermaz Auto Berhad,82
2018-12-28,Bermaz Auto Berhad,92
2018-12-29,Bermaz Auto Berhad,4
2018-12-30,Bermaz Auto Berhad,0
2018-12-31,Bermaz Auto Berhad,68
2019-01-01,Bermaz Auto Berhad,6
2019-01-02,Bermaz Auto Berhad,48
2019-01-03,Bermaz Auto Berhad,57
2019-01-04,Bermaz Auto Berhad,80
2019-01-05,Bermaz Auto Berhad,5
2019-01-06,Bermaz Auto Berhad,2
2019-01-07,Bermaz Auto Berhad,6
2019-01-08,Bermaz Auto Berhad,67
2019-01-09,Bermaz Auto Berhad,53
2019-01-10,Bermaz Auto Berhad,66
2019-01-11,Bermaz Auto Berhad,56
2019-01-12,Bermaz Auto Berhad,0
2019-01-13,Bermaz Auto Berhad,0
2019-01-14,Bermaz Auto Berhad,47
2019-01-15,Bermaz Auto Berhad,54
2019-01-16,Bermaz Auto Berhad,56
2019-01-17,Bermaz Auto Berhad,70
2019-01-18,Bermaz Auto Berhad,47
2019-01-19,Bermaz Auto Berhad,8
2019-01-20,Bermaz Auto Berhad,0
2019-01-21,Bermaz Auto Berhad,3
2019-01-22,Bermaz Auto Berhad,73
2019-01-23,Bermaz Auto Berhad,94
2019-01-24,Bermaz Auto Berhad,117
2019-01-25,Bermaz Auto Berhad,107
2019-01-26,Bermaz Auto Berhad,1
2019-01-27,Bermaz Auto Berhad,1
2019-01-28,Bermaz Auto Berhad,100
2019-01-29,Bermaz Auto Berhad,109
2019-01-30,Bermaz Auto Berhad,107
2019-01-31,Bermaz Auto Berhad,134
2019-02-01,Bermaz Auto Berhad,33
2019-02-02,Bermaz Auto Berhad,1
2019-02-03,Bermaz Auto Berhad,0
2019-02-04,Bermaz Auto Berhad,2
2019-02-05,Bermaz Auto Berhad,0
2019-02-06,Bermaz Auto Berhad,0
2019-02-07,Bermaz Auto Berhad,1
2019-02-08,Bermaz Auto Berhad,13
2019-02-09,Bermaz Auto Berhad,0
2019-02-10,Bermaz Auto Berhad,0
2019-02-11,Bermaz Auto Berhad,18
2019-02-12,Bermaz Auto Berhad,27
2019-02-13,Bermaz Auto Berhad,33
2019-02-14,Bermaz Auto Berhad,20
2019-02-15,Bermaz Auto Berhad,38
2019-02-16,Bermaz Auto Berhad,3
2019-02-17,Bermaz Auto Berhad,0
2019-02-18,Bermaz Auto Berhad,35
2019-02-19,Bermaz Auto Berhad,80
2019-02-20,Bermaz Auto Berhad,50
2019-02-21,Bermaz Auto Berhad,56
2019-02-22,Bermaz Auto Berhad,45
2019-02-23,Bermaz Auto Berhad,0
2019-02-24,Bermaz Auto Berhad,2
2019-02-25,Bermaz Auto Berhad,34
2019-02-26,Bermaz Auto Berhad,58
2019-02-27,Bermaz Auto Berhad,86
2019-02-28,Bermaz Auto Berhad,106
2019-03-01,Bermaz Auto Berhad,36
2019-03-02,Bermaz Auto Berhad,4
2019-03-03,Bermaz Auto Berhad,3
2019-03-04,Bermaz Auto Berhad,31
