date_reg,company,vehicle_count
2018-05-11,Sime UMW Holdings Berhad,106
2018-05-12,Sime UMW Holdings Berhad,34
2018-05-13,Sime UMW Holdings Berhad,2
2018-05-14,Sime UMW Holdings Berhad,715
2018-05-15,Sime UMW Holdings Berhad,958
2018-05-16,Sime UMW Holdings Berhad,1239
2018-05-17,Sime UMW Holdings Berhad,779
2018-05-18,Sime UMW Holdings Berhad,742
2018-05-19,Sime UMW Holdings Berhad,99
2018-05-20,Sime UMW Holdings Berhad,33
2018-05-21,Sime UMW Holdings Berhad,1049
2018-05-22,Sime UMW Holdings Berhad,1416
2018-05-23,Sime UMW Holdings Berhad,1125
2018-05-24,Sime UMW Holdings Berhad,876
2018-05-25,Sime UMW Holdings Berhad,1379
2018-05-26,Sime UMW Holdings Berhad,415
2018-05-27,Sime UMW Holdings Berhad,245
2018-05-28,Sime UMW Holdings Berhad,2768
2018-05-29,Sime UMW Holdings Berhad,443
2018-05-30,Sime UMW Holdings Berhad,3085
2018-05-31,Sime UMW Holdings Berhad,5213
2018-06-01,Sime UMW Holdings Berhad,654
2018-06-02,Sime UMW Holdings Berhad,62
2018-06-03,Sime UMW Holdings Berhad,27
2018-06-04,Sime UMW Holdings Berhad,590
2018-06-05,Sime UMW Holdings Berhad,758
2018-06-06,Sime UMW Holdings Berhad,934
2018-06-07,Sime UMW Holdings Berhad,1247
2018-06-08,Sime UMW Holdings Berhad,1351
2018-06-09,Sime UMW Holdings Berhad,143
2018-06-10,Sime UMW Holdings Berhad,148
2018-06-11,Sime UMW Holdings Berhad,1822
2018-06-12,Sime UMW Holdings Berhad,3077
2018-06-13,Sime UMW Holdings Berhad,2386
2018-06-14,Sime UMW Holdings Berhad,709
2018-06-15,Sime UMW Holdings Berhad,0
2018-06-16,Sime UMW Holdings Berhad,0
2018-06-17,Sime UMW Holdings Berhad,0
2018-06-18,Sime UMW Holdings Berhad,225
2018-06-19,Sime UMW Holdings Berhad,415
2018-06-20,Sime UMW Holdings Berhad,880
2018-06-21,Sime UMW Holdings Berhad,1065
2018-06-22,Sime UMW Holdings Berhad,1111
2018-06-23,Sime UMW Holdings Berhad,42
2018-06-24,Sime UMW Holdings Berhad,46
2018-06-25,Sime UMW Holdings Berhad,1238
2018-06-26,Sime UMW Holdings Berhad,1699
2018-06-27,Sime UMW Holdings Berhad,2062
2018-06-28,Sime UMW Holdings Berhad,2751
2018-06-29,Sime UMW Holdings Berhad,4043
2018-06-30,Sime UMW Holdings Berhad,2545
2018-07-01,Sime UMW Holdings Berhad,51
2018-07-02,Sime UMW Holdings Berhad,558
2018-07-03,Sime UMW Holdings Berhad,601
2018-07-04,Sime UMW Holdings Berhad,617
2018-07-05,Sime UMW Holdings Berhad,688
2018-07-06,Sime UMW Holdings Berhad,630
2018-07-07,Sime UMW Holdings Berhad,26
2018-07-08,Sime UMW Holdings Berhad,52
2018-07-09,Sime UMW Holdings Berhad,733
2018-07-10,Sime UMW Holdings Berhad,983
2018-07-11,Sime UMW Holdings Berhad,1368
2018-07-12,Sime UMW Holdings Berhad,1407
2018-07-13,Sime UMW Holdings Berhad,1398
2018-07-14,Sime UMW Holdings Berhad,118
2018-07-15,Sime UMW Holdings Berhad,81
2018-07-16,Sime UMW Holdings Berhad,1290
2018-07-17,Sime UMW Holdings Berhad,1565
2018-07-18,Sime UMW Holdings Berhad,1689
2018-07-19,Sime UMW Holdings Berhad,1620
2018-07-20,Sime UMW Holdings Berhad,1585
2018-07-21,Sime UMW Holdings Berhad,107
2018-07-22,Sime UMW Holdings Berhad,87
2018-07-23,Sime UMW Holdings Berhad,1300
2018-07-24,Sime UMW Holdings Berhad,1707
2018-07-25,Sime UMW Holdings Berhad,1805
2018-07-26,Sime UMW Holdings Berhad,2080
2018-07-27,Sime UMW Holdings Berhad,2000
2018-07-28,Sime UMW Holdings Berhad,575
2018-07-29,Sime UMW Holdings Berhad,125
2018-07-30,Sime UMW Holdings Berhad,2834
2018-07-31,Sime UMW Holdings Berhad,6097
2018-08-01,Sime UMW Holdings Berhad,509
2018-08-02,Sime UMW Holdings Berhad,703
2018-08-03,Sime UMW Holdings Berhad,534
2018-08-04,Sime UMW Holdings Berhad,14
2018-08-05,Sime UMW Holdings Berhad,31
2018-08-06,Sime UMW Holdings Berhad,520
2018-08-07,Sime UMW Holdings Berhad,725
2018-08-08,Sime UMW Holdings Berhad,1035
2018-08-09,Sime UMW Holdings Berhad,1165
2018-08-10,Sime UMW Holdings Berhad,1126
2018-08-11,Sime UMW Holdings Berhad,99
2018-08-12,Sime UMW Holdings Berhad,107
2018-08-13,Sime UMW Holdings Berhad,1223
2018-08-14,Sime UMW Holdings Berhad,1561
2018-08-15,Sime UMW Holdings Berhad,1767
2018-08-16,Sime UMW Holdings Berhad,1680
2018-08-17,Sime UMW Holdings Berhad,1508
2018-08-18,Sime UMW Holdings Berhad,131
2018-08-19,Sime UMW Holdings Berhad,121
2018-08-20,Sime UMW Holdings Berhad,1824
2018-08-21,Sime UMW Holdings Berhad,1258
2018-08-22,Sime UMW Holdings Berhad,7
2018-08-23,Sime UMW Holdings Berhad,949
2018-08-24,Sime UMW Holdings Berhad,1474
2018-08-25,Sime UMW Holdings Berhad,122
2018-08-26,Sime UMW Holdings Berhad,105
2018-08-27,Sime UMW Holdings Berhad,1573
2018-08-28,Sime UMW Holdings Berhad,2016
2018-08-29,Sime UMW Holdings Berhad,2507
2018-08-30,Sime UMW Holdings Berhad,3606
2018-08-31,Sime UMW Holdings Berhad,539
2018-09-01,Sime UMW Holdings Berhad,7
2018-09-02,Sime UMW Holdings Berhad,13
2018-09-03,Sime UMW Holdings Berhad,307
2018-09-04,Sime UMW Holdings Berhad,359
2018-09-05,Sime UMW Holdings Berhad,400
2018-09-06,Sime UMW Holdings Berhad,308
2018-09-07,Sime UMW Holdings Berhad,215
2018-09-08,Sime UMW Holdings Berhad,13
2018-09-09,Sime UMW Holdings Berhad,0
2018-09-10,Sime UMW Holdings Berhad,15
2018-09-11,Sime UMW Holdings Berhad,0
2018-09-12,Sime UMW Holdings Berhad,260
2018-09-13,Sime UMW Holdings Berhad,498
2018-09-14,Sime UMW Holdings Berhad,505
2018-09-15,Sime UMW Holdings Berhad,48
2018-09-16,Sime UMW Holdings Berhad,0
2018-09-17,Sime UMW Holdings Berhad,39
2018-09-18,Sime UMW Holdings Berhad,498
2018-09-19,Sime UMW Holdings Berhad,598
