Price,Close,High,Low,Open,Volume
Ticker,4197.KL,4197.KL,4197.KL,4197.KL,4197.KL
Date,,,,,
2023-02-08,2.072777509689331,2.0905695749323012,2.072777509689331,2.081673542310816,1882900
2023-02-09,2.0638813972473145,2.072777429524746,2.054985364969883,2.072777429524746,2551200
2023-02-10,2.0816736221313477,2.0905696550939457,2.0638815562061517,2.0638815562061517,364400
2023-02-13,2.0638813972473145,2.0905694940796082,2.0638813972473145,2.0816734618021773,5175900
2023-02-14,2.0638813972473145,2.0816734618021773,2.054985364969883,2.072777429524746,7691600
2023-02-15,2.0816736221313477,2.0816736221313477,2.0549855232435537,2.0816736221313477,4159500
2023-02-16,2.0638813972473145,2.0994655263570396,2.054985364969883,2.0816734618021773,6365600
2023-02-17,2.0638813972473145,2.072777429524746,2.054985364969883,2.072777429524746,4330400
2023-02-20,2.072777509689331,2.081673542310816,2.0549854444463613,2.063881477067846,573500
2023-02-21,2.0638813972473145,2.0816734618021773,2.054985364969883,2.0638813972473145,2602000
2023-02-22,2.054985284805298,2.081673380596494,2.046089252874899,2.054985284805298,2574600
2023-02-23,2.0371932983398438,2.063881395144952,2.0105052015347358,2.0549853628765824,7448900
2023-02-24,2.0460896492004395,2.054985682853991,2.0194015482397845,2.0460896492004395,6134700
2023-02-27,2.0371932983398438,2.0549853628765824,2.0105052015347358,2.0549853628765824,3822700
2023-02-28,2.0194010734558105,2.0460891681417936,2.0194010734558105,2.028297105017805,7509200
2023-03-01,2.0282974243164062,2.037193457278832,2.00160932542913,2.019401391353981,4373500
2023-03-02,2.0282974243164062,2.046089490241257,2.00160932542913,2.0282974243164062,3287000
2023-03-03,2.010505437850952,2.0460895711070135,2.010505437850952,2.0194014711649677,5101100
2023-03-06,1.9927133321762085,2.0105053984556083,1.9838172990365088,2.0105053984556083,7093500
2023-03-07,1.9660251140594482,2.0016092444698756,1.9571290814568414,1.9927132118672688,10340900
2023-03-08,1.9571291208267212,1.9749211863898424,1.9482330880451604,1.957129120826721,6905900
2023-03-09,1.9481098651885986,1.9661479015767043,1.939090846994546,1.9571288833826515,13288300
2023-03-10,1.9481098651885986,1.975166919770757,1.9300718288004932,1.9571288833826515,5643900
2023-03-13,1.9481098651885986,1.9571288833826515,1.9210528106064404,1.9481098651885986,10995500
2023-03-14,1.9300720691680908,1.9481101078026204,1.9300720691680908,1.9481101078026204,6847900
2023-03-15,1.9300720691680908,1.9481101078026204,1.9120338155031793,1.9390910884853556,6608700
2023-03-16,1.912034034729004,1.9300722904621064,1.893995994026308,1.9210532701107585,6823000
2023-03-17,1.9481098651885986,1.9932049561588627,1.9210528106064404,1.9210528106064404,23799100
2023-03-20,1.9210530519485474,1.9751671679112266,1.9210530519485474,1.948110109929887,5089500
2023-03-21,1.9300720691680908,1.9481101078026204,1.9300720691680908,1.9300720691680908,5318600
2023-03-22,1.9481098651885986,1.9661479015767043,1.9210528106064404,1.939090846994546,9427100
2023-03-23,1.9390910863876343,1.9661481443101578,1.9300720670801264,1.9481101056951422,6079800
2023-03-24,1.9390910863876343,1.95712912500265,1.9390910863876343,1.9390910863876343,5528500
2023-03-27,1.912034034729004,1.9571293515161499,1.912034034729004,1.9390913108134542,5522800
2023-03-28,1.9390910863876343,1.9481101056951422,1.9120338134347286,1.9210530477726184,4931800
2023-03-29,1.9841861724853516,1.993205191745406,1.948110095445135,1.948110095445135,7411000
2023-03-30,1.9481098651885986,1.98418593796481,1.939090846994546,1.98418593796481,8523400
2023-03-31,1.9390910863876343,1.9661481443101578,1.9300720670801264,1.95712912500265,7176400
2023-04-03,1.975167155265808,1.975167155265808,1.9300720589189502,1.9481100974576933,6713600
2023-04-04,1.975167155265808,1.9932051938045514,1.9661481359964366,1.9661481359964366,2750300
2023-04-05,1.975167155265808,2.002224213073923,1.975167155265808,1.975167155265808,1970800
2023-04-06,1.9841861724853516,1.993205191745406,1.9661481339652433,1.9751671532252975,8518800
2023-04-07,1.9841861724853516,1.993205191745406,1.948110095445135,1.993205191745406,8129700
2023-04-10,1.9390910863876343,1.9932052022326816,1.9300720670801264,1.9932052022326816,3830100
2023-04-11,1.9390910863876343,1.9481101056951422,1.9300720670801264,1.9481101056951422,2492200
2023-04-12,1.9571291208267212,1.9571291208267212,1.9300720629619292,1.9390910822501932,4193100
2023-04-13,1.9481098651885986,1.9571288833826515,1.939090846994546,1.9571288833826515,1500000
2023-04-14,1.9571291208267212,1.9571291208267212,1.9481101015384572,1.9481101015384572,1151200
2023-04-17,1.9481098651885986,1.9661479015767043,1.939090846994546,1.9571288833826515,4773500
2023-04-18,1.9571291208267212,1.9571291208267212,1.9481101015384572,1.9571291208267212,1452500
2023-04-19,1.9300720691680908,1.9661481464371497,1.921053049850826,1.957129127119885,5685700
2023-04-20,1.9390910863876343,1.9481101056951422,1.9210530477726184,1.9300720670801264,3415500
2023-04-25,1.9481098651885986,1.9571288833826515,1.939090846994546,1.9481098651885986,2813500
2023-04-26,1.9481098651885986,1.9571288833826515,1.9210528106064404,1.9481098651885986,8141600
2023-04-27,1.9571291208267212,1.9571291208267212,1.9390910822501932,1.9481101015384572,1911600
2023-04-28,1.9571291208267212,1.9661481401149852,1.9390910822501932,1.9571291208267212,5723900
2023-05-02,1.9481098651885986,1.975166919770757,1.9481098651885986,1.9481098651885986,3101900
2023-05-03,1.9390910863876343,1.9481101056951422,1.9390910863876343,1.9481101056951422,3127200
2023-05-05,1.9390910863876343,1.95712912500265,1.9300720670801264,1.9300720670801264,4534200
2023-05-08,1.9390910863876343,1.9481101056951422,1.9390910863876343,1.9481101056951422,2359300
2023-05-09,1.9300720691680908,1.9481101078026204,1.9300720691680908,1.9390910884853556,2494600
2023-05-10,1.9390910863876343,1.9390910863876343,1.9210530477726184,1.9300720670801264,1434500
2023-05-11,1.9300720691680908,1.9390910884853556,1.9120338155031793,1.9390910884853556,3514500
2023-05-12,1.912034034729004,1.9300722904621064,1.912034034729004,1.9300722904621064,4309100
2023-05-15,1.912034034729004,1.9210532701107585,1.9030150143776559,1.912034034729004,2419600
2023-05-16,1.9030146598815918,1.912033678552865,1.8939956412103185,1.912033678552865,1989700
2023-05-17,1.893995761871338,1.912033800363036,1.893995761871338,1.903014781117187,1517100
2023-05-18,1.9030146598815918,1.912033678552865,1.8939956412103185,1.9030146598815918,2065600
2023-05-19,1.912034034729004,1.9300722904621064,1.9030150143776559,1.9030150143776559,1799000
2023-05-22,1.9300720691680908,1.9300720691680908,1.9030147961859145,1.9300720691680908,4601400
2023-05-23,1.9210530519485474,1.9390910906027738,1.9120338175910518,1.9300720712756607,4294300
2023-05-24,1.9030146598815918,1.921052912254505,1.8939956412103185,1.921052912254505,3908100
2023-05-25,1.866938829421997,1.903014908826419,1.866938829421997,1.8939958889753135,3225600
2023-05-26,1.8579198122024536,1.8759578519302138,1.8398817724746934,1.8669388320663336,2655600
2023-05-29,1.8489006757736206,1.866938714364163,1.8489006757736206,1.8579196950688917,960300
2023-05-30,1.8308625221252441,1.857919578310697,1.8308625221252441,1.8489005595822128,3110400
2023-05-31,1.866938829421997,1.866938829421997,1.8218437301664696,1.830862750017575,13348300
2023-06-01,1.8398816585540771,1.8579196971649696,1.8218436199431849,1.8579196971649696,5292900
2023-06-02,1.866938829421997,1.8759578492731026,1.8398817698686805,1.848900789719786,4809900
2023-06-06,1.7947865724563599,1.8759577466770616,1.7947865724563599,1.8669387273192057,7603300
2023-06-07,1.8308625221252441,1.8398815408537283,1.7947864472113073,1.8038054659397915,4229000
2023-06-08,1.8398816585540771,1.8489006778595234,1.7857675427214,1.8398816585540771,6249500
2023-06-09,1.8038055896759033,1.8489006864117243,1.8038055896759033,1.8398816670645601,5137600
2023-06-12,1.8128246068954468,1.8308626455686048,1.8038055875588677,1.8038055875588677,3095100
2023-06-13,1.8218435049057007,1.830862523641655,1.8128244861697465,1.830862523641655,3339900
2023-06-14,1.8579198122024536,1.8669388320663336,1.8308627526108134,1.8308627526108134,3038500
2023-06-15,1.8308625221252441,1.857919578310697,1.82184350339676,1.857919578310697,1812800
2023-06-16,1.8308625221252441,1.8759576157676654,1.8308625221252441,1.8398815408537283,15430400
2023-06-19,1.866938829421997,1.866938829421997,1.8218437301664696,1.8398817698686805,1968000
2023-06-20,1.866938829421997,1.866938829421997,1.8398817698686805,1.8579198095708915,3068400
2023-06-21,1.8489006757736206,1.866938714364163,1.8398816564783496,1.866938714364163,2898600
2023-06-22,1.8489006757736206,1.866938714364163,1.8398816564783496,1.8489006757736206,3890100
2023-06-23,1.8489006757736206,1.866938714364163,1.8398816564783496,1.8489006757736206,3275300
2023-06-26,1.8489006757736206,1.866938714364163,1.8489006757736206,1.8489006757736206,2656800
2023-06-27,1.8489006757736206,1.866938714364163,1.8489006757736206,1.8489006757736206,2076300
2023-06-28,1.8579198122024536,1.8849768717940938,1.8579198122024536,1.8669388320663336,1694200
2023-06-30,1.8489006757736206,1.866938714364163,1.8308626371830785,1.8579196950688917,5675200
2023-07-03,1.875957727432251,1.875957727432251,1.8489006696362529,1.8489006696362529,924200
2023-07-04,1.8489006757736206,1.875957733659434,1.8308626371830785,1.875957733659434,4926900
2023-07-05,1.8579198122024536,1.8759578519302138,1.8398817724746934,1.8489007923385736,1151500
2023-07-06,1.8579198122024536,1.8759578519302138,1.8489007923385736,1.8579198122024536,2233300
2023-07-07,1.8489006757736206,1.875957733659434,1.8489006757736206,1.8489006757736206,2059900
2023-07-10,1.8579198122024536,1.8849768717940938,1.8489007923385736,1.8489007923385736,2568700
2023-07-11,1.893995761871338,1.903014781117187,1.8579196848879418,1.8579196848879418,3070400
2023-07-12,1.9210530519485474,1.9390910906027738,1.8939957789368256,1.8939957789368256,3760700
2023-07-13,1.9210530519485474,1.9390910906027738,1.9120338175910518,1.9390910906027738,2555000
2023-07-14,1.9030146598815918,1.9390909495970514,1.8939956412103185,1.9300719309257783,4219700
2023-07-17,1.884976863861084,1.9120339233388532,1.8759578440351607,1.9030149035129302,2249700
2023-07-18,1.8579198122024536,1.8939958916579738,1.8489007923385736,1.8849768717940938,5162100
2023-07-20,1.866938829421997,1.8759578492731026,1.848900789719786,1.8579198095708915,6189600
2023-07-21,1.9300720691680908,1.9300720691680908,1.8669387189168556,1.8759577382341204,3389000
2023-07-24,1.912034034729004,1.9300722904621064,1.893995994026308,1.9300722904621064,4074100
2023-07-25,1.9481098651885986,1.9571288833826515,1.9030145591879795,1.9210528106064404,3685400
2023-07-26,1.9390910863876343,1.95712912500265,1.9300720670801264,1.9481101056951422,2234400
2023-07-27,1.9571291208267212,1.9661481401149852,1.9390910822501932,1.9481101015384572,1677500
2023-07-28,1.9390910863876343,1.95712912500265,1.9300720670801264,1.9390910863876343,3100500
2023-07-31,1.9661481380462646,1.9841861766038136,1.9481100994887157,1.9481100994887157,4601800
2023-08-01,1.9571291208267212,1.9932051979797771,1.9571291208267212,1.9661481401149852,4141400
2023-08-02,1.9661481380462646,1.9751671573250391,1.9571291187674902,1.9571291187674902,2561500
2023-08-03,1.9661481380462646,1.9841861766038136,1.9571291187674902,1.9661481380462646,4723900
2023-08-04,1.9661481380462646,1.9841861766038136,1.9571291187674902,1.9661481380462646,1345300
2023-08-07,1.9661481380462646,1.9841861766038136,1.9661481380462646,1.9661481380462646,1950200
2023-08-08,2.0022242069244385,2.0022242069244385,1.9661481299577537,1.9661481299577537,2713300
2023-08-09,1.9841861724853516,2.00222421100546,1.9751671532252975,2.00222421100546,4198700
